,id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
0,4812920000000000.0,M5q7ZrcCL,7306650050,楚少主,"#李多海#【当初觉得李多海瞎了，现在是我瞎了！】9月11号，网友都在吃李易峰的pc被警方通报的大瓜，而李易峰的前女友李多海却被上了热搜。不是因为和李易峰的恋情。也不是因为宣传新剧。而是李多海的心情，她在韩国正常穿搭营业，给粉丝提供海滩游泳装，大秀好身材。自从2012年李多海和李易峰在剧里假戏真做发展到戏外，杀青后李多海要飞到韩国继续工作，李易峰一般内地和韩国两边跑，直到有一天李多海对他说：我想要在韩国买了一套3,000万的房子，当时李易峰并不红而李多海是一线的女演员。没办法满足李多海的条件，两人也分手了，这只是网友所传出来的消息，并没有得到双方两人的证实。看来李多海的眼睛很明亮，房子只是分手的其中的小小原因，而真正的原因看来也只有李多海才能够知道。李多海虽然没有异性在旁边陪伴，但是她的事业相比要稳定和直线向上。并没有被爱情冲昏头脑，懂得辨别恋爱中的最基础的人品。网友说：当初觉得李多海瞎了，现在是我瞎了！姐姐你一定要好好营业。姐姐赶紧出一门课程，教我怎么辨别渣男？#李易峰前女友李多海近照曝光#",,,,"李多海,李易峰前女友李多海近照曝光",1,0,0,2022/9/12 17:00,新版微博 weibo.com,"['https://wx4.sinaimg.cn/large/007YtXsmgy1h63rihzxslj30bc0ekn4k.jpg', 'https://wx3.sinaimg.cn/large/007YtXsmgy1h63riiy5ojj30ba0eh45q.jpg', 'https://wx1.sinaimg.cn/large/007YtXsmgy1h63rijy3f6j30hu0e8dno.jpg']",,
1,4812920000000000.0,M5q7YtzEO,5842233716,拽的天空,#王嘉尔站姐关站#李易峰站姐都没把关站爆了怎么王嘉尔站姐就先出手了这站姐是不是知道了什么呀,,,,王嘉尔站姐关站,0,0,30,2022/9/12 16:59,,,,
2,4812920000000000.0,M5q7XAkOw,3253106461,淡然弯弓射大雕,我刚坐出租车，司机和我说话我没看到，我说我看新闻呢没听到您说话不好意思，他认为李易峰这事不是大事，他是被人点了所以出事了(东北话就是有人坑他)。果然男人理解男人，是不是男人心里嫖都不是大事。,,,,,0,4,4,2022/9/12 16:59,,,,
3,4812920000000000.0,M5q7XAjpV,6983185440,是谁的阿蕊ya,#李易峰的瓜#私,,,,李易峰的瓜,0,1,0,2022/9/12 16:59,iQOO Z5 性能先锋,['https://wx4.sinaimg.cn/large/007CAJxely1h63xfaepaqj30og1j4n25.jpg'],,
4,4812920000000000.0,M5q7X5wG8,1828269144,星娱小马甲,海清，终于是藏不住了！！在李易峰胡乱发生关系，被抓起来定案后，有女性明星主动发声控诉，“自己也曾在剧组被男演员动手动脚，她没想到这个男演员表面很有演技和实力，内心却是龌龊的，幸好有其他女明星出来维护她”。这个发声的女明星正是朱锐，她是胡可的好闺蜜，也是主持人和演员。从她所说的几点信息来看，帮她出头的女明星极有可能就是海清，朱锐的第一部剧就是《媳妇的美好时代》，她是配角凤凰，海清是女主，男主就是在五年后出事被抓了，此后就再也没在娱乐圈露过脸。尤其是那段时间的海清，真的是什么都敢说，敢争取，她的性格很直很倔强，当剧组的人，都不愿意相信朱锐的话时，海清是直接冲进休息室指着那个人骂，这也是海清能够做出来的事情。,,,,,26,26,26,2022/9/12 16:59,vivo S7轻薄自拍旗舰,"['https://wx1.sinaimg.cn/large/6cf92c58gy1h63xfc7bj6j20qj0v30vw.jpg', 'https://wx3.sinaimg.cn/large/6cf92c58gy1h63xfcl6agj20ht0f8mz9.jpg', 'https://wx2.sinaimg.cn/large/6cf92c58gy1h63xfd17nkj20qn0f90ug.jpg', 'https://wx3.sinaimg.cn/large/6cf92c58gy1h63xfdhc7qj20qo0ym412.jpg', 'https://wx3.sinaimg.cn/large/6cf92c58gy1h63xfe13m3j20qm0lg0t3.jpg', 'https://wx4.sinaimg.cn/large/6cf92c58gy1h63xfedh0ij20o30e3wff.jpg']",,
5,4812920000000000.0,M5q7X2dhd,6580933605,是糖我都嗑,李易峰消失了15天，声明后八小时被通报，5+8原来是他在暗示58天后有大事发生！！！细思极恐！！翻遍全网我终于知道了58天后将要发生什么，是的58天后［11.9］?SEVENTEEN?携日文迷你一辑【DREAM】强势回归！引爆小鬼子！?,,,,,0,2,2,2022/9/12 16:59,句号妈咪的Android,,,
6,4812920000000000.0,M5q7VADX6,7323666111,心落落落落落落,#如何看待李易峰此前发声明#屁用没有，垃圾一个，现在他粉丝还在拉人共沉沦，只能说一路货色,,,,如何看待李易峰此前发声明,0,0,0,2022/9/12 16:59,OPPO随光而变R17,,,
7,4812920000000000.0,M5q7VhWuy,7318181894,轩槿瑶卿,李易峰@李易峰真的是，感觉还在恍惚中，即将迎来的都是极好的，为何要去断送呢，好不真实的感觉，不论是曾经的那份喜欢，还是那份青春的念想，呵，现在……,,,李易峰,,0,0,2,2022/9/12 16:59,李易峰超话,['https://wx1.sinaimg.cn/large/007ZglpQgy1h63xef9l14j30u017f76s.jpg'],,
8,4812920000000000.0,M5q7VfLlL,6287221259,異燃頗頗,隨便搜索關鍵字就有關於李易峰的這麼一大堆而且竟然當年還長篇大論誇讚張藝興666我2007年全程看他比賽那時候就粉上了也算是元老級骨灰粉了15年還寫過一篇真情實感的長文翻來覆去死活找不到了就這樣吧15年底跟在娛樂圈工作的朋友吃飯聽他們講了一些他的破事後當場恨得咬牙切齒立馬脫粉迄今為止已經脫七年粉了也終於等到他徹底塌房這一天了這一天雖然來的有點晚但好在終於等到了這種感覺就像是大仇已報的快感加持,,,,,0,0,0,2022/9/12 16:59,iPhone,"['https://wx2.sinaimg.cn/large/006Ruxsvly1h63xej6gq5j30wi160qbr.jpg', 'https://wx2.sinaimg.cn/large/006Ruxsvly1h63xek0u0xj30wi1ycx2t.jpg', 'https://wx3.sinaimg.cn/large/006Ruxsvly1h63xekqzcbj30wi1o5wid.jpg', 'https://wx1.sinaimg.cn/large/006Ruxsvly1h63xel3a17j30se0zk0xb.jpg', 'https://wx4.sinaimg.cn/large/006Ruxsvly1h63xelupnsj30wi0wmdgy.jpg', 'https://wx4.sinaimg.cn/large/006Ruxsvly1h63xeni3z1j30wi0rzq4g.jpg', 'https://wx3.sinaimg.cn/large/006Ruxsvly1h63xenz541j30wi1p4n1c.jpg', 'https://wx1.sinaimg.cn/large/006Ruxsvly1h63xelg23vj30wi1yc1kx.jpg', 'https://wx4.sinaimg.cn/large/006Ruxsvly1h63xen0dtwj30wi1ycb1x.jpg']",,
9,4812910000000000.0,M5pJDupPk,5852393498,一颗星星的救赎,#李易峰粉丝超话现状#没必要嘲讽粉丝吧？？他做错的事情嘲讽粉丝干嘛？粉丝做错了什么呢？你花个十几年七八年的青春，就这样说没就没了？你不难过吗？？是没有脑干还是没有心啊？知不道粉丝有多难过啊。站在道德的制高点上把粉丝践踏得一无是处很了不起吗？这跟他那样的行为有什么区别？粉丝有自己的判断，你上人家不脱粉的微博底下评论一些很恶意的话，有意思吗？看着不恶心吗？什么排队啊，你自己看看这是人话吗？尊重女性吗？你自己还是个女生呢。还有人家脱不脱粉关你什么事呢？他们有他们自己的判断，用得着你们关啊。,,,,,1,2,2,2022/9/12 16:00,nova7你在焦点在,,,
